Song Name,Loudness(in dB),Mean,Standard Deviation,Valence,Danceability,KEY_NUM_VAL,Genre / Mood
60's Love,-6.527,88.675421,88.675421,0.39,0.46,5,0
Baksho Bondi,-5.774,96.122737,16.607486,0.28,0.42,6,0
Kichui Nei,-8.39,96.207487,16.932029,0.23,0.36,6,0
Amar Dehokhan (Official),-8.665,97.333898,18.109841,0.18,0.56,7,0
Etota Valobasi,-10.423,98.707848,17.422191,0.36,0.63,3,0
Morron Iccha,-4.168,99.384344,24.113929,0.28,0.58,7,0
Ma,-10.681,100.33699,18.527663,0.38,0.51,1,0
Porinita,-5.702,101.212697,18.261369,0.42,0.52,7,0
Acid,-4.33,102.894988,15.203349,0.33,0.71,6,0
Bhoboghure 2022,-10.843,104.106196,14.371933,0.32,0.35,3,0
Shopnobhongo,-5.721,104.603198,17.086325,0.31,0.3,3,0
29 Se October,-4.534,106.881313,22.134865,0.39,0.65,1,0
Dirghoshash,-7.889,107.382757,24.734075,0.16,0.56,3,0
Rajahin Rajjo,-4.276,110.765421,17.760457,0.48,0.5,2,0
Onnogaan,-8.319,112.647415,25.02048,0.16,0.44,5,0
Bhrom,-7.8,112.690895,21.356298,0.43,0.56,7,0
Dusshopno,-10.318,113.117844,20.373748,0.4,0.51,7,0
School,-5.23,114.232056,18.33764,0.43,0.5,2,0
Boka pakhi,-4.052,115.714217,18.772401,0.12,0.4,6,0
Moho,-5.4,115.721974,21.806998,0.37,0.55,7,0
Mayabee,-8.709,116.222658,21.995623,0.35,0.51,2,0
Gonojowar,-5.461,117.654,20.832444,0.38,0.29,2,0
Amar E Gaan,-10.493,118.832719,26.430694,0.1,0.3,5,0
Obosthan,-14.011,122.383233,25.328509,0.16,0.67,3,0
Suity,-9.45,123,0,0.27,0.62,7,0
Tritiyo Biswa,-3.731,124.192009,22.242091,0.29,0.54,3,0
Jaatra,-4.425,125.226706,21.122757,0.15,0.42,5,0
Ami Bodle Jabo,-3.968,126.975195,24.88996,0.48,0.41,2,0
Nemesis,-10.279,127.80454,26.931822,0.4,0.62,5,0
Amar Shotto,-8.393,130.127217,24.483701,0.39,0.43,7,0
Biprotip,-6.552,130.507328,24.551393,0.14,0.44,7,0
Ekla Ghor,-10.85,131.432495,31.594413,0.28,0.67,7,0
"Tumi, Ami O Bhor",-10.682,132.998326,25.095189,0.23,0.49,7,0
Utshobeer Utshahe,-5.702,134.34747,26.928248,0.42,0.52,7,0
Aprustut juddho,-5.33,138.186836,24.752945,0.4,0.35,2,0
Ondho Deyal,-10.153,139.036986,29.370944,0.23,0.44,2,0
Aro Ekbar,-12.249,139.749729,33.521109,0.16,0.39,3,0
Proticchobi,-5.821,141.24669,22.670524,0.12,0.53,7,0
Manab Boma,-3.602,141.85615,31.478082,0.32,0.43,4,0
Anmone 2,-5.781,144.859795,32.16107,0.38,0.36,3,0
Niskraman,-10.147,147.19875,33.202907,0.24,0.54,3,0
Bishakto Manush,-10.671,149.78814,32.072354,0.34,0.39,5,0
Shey Amare,-8.747,153.501281,33.532643,0.25,0.65,7,0
Hansnuhana,-12.304,155.741305,32.585006,0.31,0.53,3,0
Je Shohore Ami Nei,-3.951,156.391341,27.585546,0.42,0.47,2,0
Purnata,-7.441,158.235956,28.621783,0.4,0.58,3,0
Chhal,-4.46,162.776138,31.89891,0.09,0.41,4,0
